14:00:25:847 [ALWAYS]	GUDE Logging Started
14:00:25:848 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
14:00:25:848 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
14:00:25:848 [ERROR]	Initialize resume cache pointer failure
14:00:25:848 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
14:00:25:848 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
14:00:29:895 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
14:00:29:895 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
14:00:29:895 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
14:00:29:895 [ERROR]	Initialize resume cache pointer failure
14:00:29:896 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
14:00:29:896 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
